import_group,section,line
1,ImportantDates,Notification Date: 31 December 2025
,,"Last Date: 30 January 2026"
,ImportantLinks,Apply Online=https://example.com
,,"Download Notification=https://example.com/notification.pdf"
2,ShortInfo,UP Police recruitment 2026 — brief intro line here.
,Eligibility,Minimum Qualification: 10+2 from recognized board
,Eligibility,Age Limit: 18-25 years
,ImportantDates,Exam Date: 15 March 2026
,अक्सर पूछे जाने वाले प्रश्न,Q: आवेदन की अंतिम तिथि क्या है?
,अक्सर पूछे जाने वाले प्रश्न,A: 30 January 2026
